Wall time,Step,Value
1652571861.0008936,20940,-0.8758848309516907
1652571868.8725414,20957,-0.861884593963623
1652571920.70234,21078,-0.8512876033782959
1652572017.6263118,21307,-0.8594189286231995
1652572019.2951758,21311,-0.8653892278671265
1652572066.5891879,21418,-0.8579776287078857
1652572120.4307098,21541,-0.8734491467475891
1652572147.3771632,21606,-0.870455801486969
1652572161.3243504,21638,-0.8592677116394043
1652572167.949603,21654,-0.856036901473999
1652572205.390722,21741,-0.8632524013519287
1652572206.6344256,21744,-0.8594244718551636
1652572227.279165,21794,-0.856633186340332
1652572260.5761313,21873,-0.8692793846130371
1652572367.8076985,22123,-0.863817036151886
1652572376.9774542,22145,-0.8638970851898193
1652572406.0168004,22213,-0.8505326509475708
1652572442.484605,22299,-0.8774107694625854
1652572617.268013,22704,-0.8574416041374207
1652572632.2361743,22740,-0.8612602949142456
1652572636.3876343,22750,-0.8672236800193787
1652572645.1958897,22771,-0.8628749847412109
1652572654.0616765,22791,-0.8722284436225891
1652572679.871391,22850,-0.860378623008728
1652572721.1627986,22945,-0.8652645349502563
1652572722.3999786,22948,-0.8691308498382568
1652572739.2924764,22989,-0.8607178926467896
1652572754.582561,23021,-0.863763153553009
1652572763.53546,23041,-0.8642362356185913
1652572764.3786402,23043,-0.8526257276535034
1652572808.989899,23148,-0.8576856255531311
1652572848.083984,23238,-0.8433449864387512
1652572901.028108,23360,-0.8616900444030762
1652572910.046666,23380,-0.8672371506690979
1652572915.0238833,23392,-0.8621832132339478
1652572924.5878417,23415,-0.8766621351242065
1652572941.2301166,23455,-0.8808184862136841
1652572949.0929558,23473,-0.8723740577697754
1652572988.4677968,23559,-0.8615461587905884
1652573039.567699,23675,-0.876573920249939
1652573055.291915,23713,-0.8599456548690796
1652573075.7341466,23762,-0.8629277944564819
1652573211.5732384,24064,-0.8714622855186462
1652573218.9938433,24082,-0.858752965927124
1652573257.711599,24169,-0.8733171820640564
1652573258.609203,24171,-0.8811036348342896
1652573446.0197413,24600,-0.861088752746582
1652573486.2270265,24693,-0.8678545951843262
1652573493.7035048,24711,-0.8557071685791016
1652573562.7109635,24872,-0.8563276529312134
1652573598.5566463,24954,-0.867112398147583
1652573615.5160913,24995,-0.8684927821159363
1652573757.3440711,25313,-0.8714980483055115
1652573783.7334342,25373,-0.8748078346252441
1652573795.5451488,25401,-0.8547691106796265
1652573863.5954063,25557,-0.8677183985710144
1652573936.4471815,25724,-0.8745747804641724
1652573948.503439,25750,-0.8822568655014038
1652573953.8748572,25763,-0.875762939453125
1652574065.8463228,26013,-0.8642938137054443
1652574103.3354487,26098,-0.8662089109420776
1652574103.753032,26099,-0.879056453704834
1652574150.2910125,26203,-0.8668091893196106
1652574192.5951188,26302,-0.8662493228912354
1652574193.4588468,26304,-0.8707877397537231
1652574223.4788198,26364,-0.8677370548248291
1652574224.7496252,26367,-0.8572450280189514
1652574435.1223085,26838,-0.8622660636901855
1652574587.683983,27182,-0.8826478123664856
1652574632.2973826,27283,-0.8812757730484009
1652574634.0457423,27287,-0.8738407492637634
1652574643.675241,27309,-0.8758899569511414
1652574700.6004488,27436,-0.8783432245254517
1652574747.8210907,27545,-0.8730751276016235
1652574755.6160636,27561,-0.8759282827377319
1652574774.855447,27605,-0.8684582710266113
1652574809.8842216,27683,-0.8637869358062744
1652574817.306072,27700,-0.8796424865722656
1652574832.158265,27735,-0.8744985461235046
1652574836.7737694,27744,-0.8768563270568848
1652574863.5455143,27806,-0.8769021034240723
1652574889.6473603,27865,-0.8670852184295654
1652574919.3131902,27934,-0.8615283966064453
1652574948.3937929,28000,-0.8751485347747803
1652575017.0841093,28153,-0.8699387311935425
1652575089.314353,28319,-0.8688535690307617
1652575112.23006,28370,-0.8634753227233887
1652575210.9785817,28598,-0.8800356984138489
1652575237.4928946,28659,-0.8766855001449585
1652575242.347557,28670,-0.876160740852356
1652575243.1787462,28672,-0.8748496770858765
1652575264.5795403,28719,-0.8696633577346802
1652575342.0527833,28897,-0.8711719512939453
1652575348.9111466,28911,-0.880721390247345
1652575435.2062898,29108,-0.8692030906677246
1652575460.1950405,29160,-0.8685376644134521
1652575513.6006742,29283,-0.8818479776382446
1652575533.3431733,29328,-0.8683056831359863
1652575569.16846,29410,-0.8861732482910156
1652575591.0308416,29459,-0.8704429864883423
1652575700.75751,29710,-0.8653874397277832
1652575722.9988315,29762,-0.8722956776618958
1652575752.4480689,29829,-0.8747674226760864
1652575785.0717423,29899,-0.8727978467941284
1652575785.4891222,29900,-0.876386284828186
1652575863.2986102,30072,-0.8808959126472473
1652575884.5583963,30120,-0.8826454877853394
1652575892.0622873,30137,-0.8815698623657227
1652575929.1751187,30221,-0.8635743260383606
1652575938.3712716,30242,-0.8873130083084106
1652575946.434191,30261,-0.8818827867507935
1652576029.518978,30448,-0.8848841786384583
1652576058.7838924,30514,-0.8736593723297119
1652576097.53762,30601,-0.8781703114509583
1652576101.921743,30611,-0.8823906779289246
1652576135.27829,30686,-0.8804565072059631
1652576142.7702932,30704,-0.8828119039535522
1652576185.5394557,30803,-0.8652074337005615
1652576197.3234663,30831,-0.8741316795349121
1652576265.1899357,30988,-0.8727927803993225
1652576284.0186555,31033,-0.8688700199127197
1652576314.8000638,31102,-0.8764829635620117
1652576368.3601522,31226,-0.8831259608268738
1652576388.216373,31270,-0.8669238090515137
1652576417.2298286,31334,-0.8850785493850708
1652576546.6282506,31625,-0.8752614259719849
1652576590.371618,31724,-0.8803945779800415
1652576594.1280336,31733,-0.8845160007476807
1652576620.4648678,31794,-0.8644890189170837
1652576668.3433814,31905,-0.8645304441452026
1652576755.2762086,32105,-0.8709895014762878
1652576785.2230163,32172,-0.8870527744293213
1652576798.4847903,32203,-0.8754125833511353
1652576844.0388365,32304,-0.8840039968490601
1652576850.3200996,32317,-0.880035400390625
1652576918.8490334,32475,-0.8680815696716309
1652576982.8521068,32624,-0.8773621320724487
1652577006.2564023,32680,-0.8912448883056641
1652577050.6013017,32785,-0.8723078370094299
1652577064.9388008,32815,-0.8859049081802368
1652577092.1457472,32881,-0.8768320083618164
1652577128.4937654,32965,-0.8794822692871094
1652577156.1155,33026,-0.8810478448867798
1652577163.5740054,33044,-0.873895525932312
1652577180.719296,33083,-0.8885945081710815
1652577183.6488676,33090,-0.873931884765625
1652577236.3047843,33209,-0.8775056004524231
1652577257.9637372,33261,-0.8766340017318726
1652577266.8735943,33280,-0.8809806108474731
1652577279.0972898,33309,-0.8789308071136475
1652577328.500149,33421,-0.8761980533599854
1652577339.8190143,33448,-0.8713714480400085
1652577366.8496773,33511,-0.8856614828109741
1652577372.2412248,33524,-0.8719232082366943
1652577378.5997899,33539,-0.8746263980865479
1652577462.9791596,33735,-0.8755089044570923
1652577464.6550536,33739,-0.8781148195266724
1652577484.0777192,33784,-0.8875142335891724
1652577499.548741,33821,-0.8826713562011719
1652577507.067866,33839,-0.8688270449638367
1652577676.9678936,34233,-0.8754876852035522
1652577700.2878382,34287,-0.8824580311775208
1652577771.1352026,34444,-0.8790169954299927
1652577783.5030806,34474,-0.8834018707275391
1652577802.341626,34519,-0.876017689704895
1652577805.933006,34528,-0.8770773410797119
1652577824.9656844,34571,-0.8706479072570801
1652577938.2109585,34837,-0.8747110366821289
1652577970.2459738,34915,-0.8651195764541626
1652577999.7494352,34984,-0.8812425136566162
1652578016.2722402,35022,-0.8746033906936646
1652578043.140239,35087,-0.8756603002548218
1652578109.9255724,35241,-0.8793426752090454
1652578120.2398221,35266,-0.8724744319915771
1652578136.3989851,35300,-0.8946247696876526
1652578154.1132855,35341,-0.8864002227783203
1652578155.7670271,35345,-0.8832895159721375
1652578159.4795568,35354,-0.8591673970222473
1652578252.6430116,35570,-0.8775532245635986
1652578260.0389903,35588,-0.8862901329994202
1652578267.5723376,35604,-0.8819834589958191
1652578277.113115,35627,-0.8797595500946045
1652578287.8603654,35653,-0.8887006044387817
1652578305.0689545,35695,-0.8811601400375366
1652578380.1430619,35872,-0.8707069754600525
1652578423.1810267,35963,-0.882338285446167
1652578546.040295,36245,-0.8749597072601318
1652578577.7208223,36314,-0.8751052618026733
1652578599.2052915,36366,-0.8737494349479675
1652578663.1445084,36511,-0.8899339437484741
1652578694.313636,36584,-0.8848943114280701
1652578700.1774335,36598,-0.8909164071083069
1652578700.5977764,36599,-0.8669396042823792
1652578737.4171646,36685,-0.8776998519897461
1652578767.1792538,36756,-0.867444634437561
1652578789.912458,36808,-0.8911414742469788
1652578917.2146873,37106,-0.8906993865966797
1652578979.4813678,37250,-0.8831304311752319
1652578987.8192632,37270,-0.8839077353477478
1652578994.6529918,37286,-0.8764806985855103
1652579118.989693,37576,-0.8795226812362671
1652579122.8397486,37585,-0.8930726051330566
1652579167.7879546,37690,-0.8858284950256348
1652579194.781833,37752,-0.881618857383728
1652579197.2760174,37758,-0.8903750777244568
1652579198.1092618,37760,-0.8732564449310303
1652579207.257247,37782,-0.8786393404006958
1652579272.4913745,37933,-0.8976432085037231
1652579304.4137433,38009,-0.8807488083839417
1652579313.4057753,38029,-0.8809348940849304
1652579355.948833,38129,-0.8920691013336182
1652579392.703241,38217,-0.8863415718078613
1652579396.2689228,38223,-0.8921025991439819
1652579434.3714764,38315,-0.8884968757629395
1652579482.7201436,38427,-0.891069233417511
1652579487.7196448,38439,-0.8804691433906555
1652579499.7365427,38466,-0.8903969526290894
1652579557.8898082,38604,-0.8833338618278503
1652579614.2456975,38736,-0.8924587965011597
1652579678.0194833,38887,-0.8863776922225952
1652579694.12617,38923,-0.8772711753845215
1652579704.3648298,38947,-0.8874258995056152
1652579707.7551143,38955,-0.8900505900382996
